Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_0.fa	94.69	0.04	Gradient Boost (General Model)	11	0.835	155604	329.4360819037078	2134940	0.5	1807	35	616294	None
SemiBin_1.fa	97.86	0.88	Neural Network (Specific Model)	11	0.884	207336	309.01459143968873	2152984	0.53	2056	23	476882	None
SemiBin_10.fa	100.0	1.28	Neural Network (Specific Model)	11	0.871	134712	320.29336124401914	3682984	0.47	3344	49	317424	None
SemiBin_100.fa	13.35	0.16	Neural Network (Specific Model)	11	0.876	7579	273.7766871165644	762331	0.53	815	113	54471	None
SemiBin_101.fa	62.58	0.36	Neural Network (Specific Model)	11	0.869	10616	274.81968911917096	1829127	0.64	1930	227	53238	None
SemiBin_102.fa	95.74	3.97	Gradient Boost (General Model)	11	0.86	14864	275.14414414414415	1592533	0.27	1665	142	52718	None
SemiBin_103.fa	9.23	0.08	Neural Network (Specific Model)	11	0.912	28736	295.51602564102564	302568	0.45	312	27	51000	None
SemiBin_104.fa	6.45	0.0	Neural Network (Specific Model)	11	0.899	20235	262.57992565055764	234522	0.44	269	24	49564	None
SemiBin_105.fa	8.59	0.1	Neural Network (Specific Model)	11	0.862	8968	251.38504672897196	465806	0.54	535	62	48551	None
SemiBin_108.fa	71.32	0.88	Neural Network (Specific Model)	11	0.895	10652	300.99784830554063	1871484	0.52	1859	221	47182	None
SemiBin_109.fa	90.85	1.52	Gradient Boost (General Model)	11	0.836	12694	294.5151362260343	2091037	0.62	1982	215	46545	None
SemiBin_11.fa	98.14	0.26	Gradient Boost (General Model)	11	0.883	138722	324.57733333333334	4126400	0.45	3750	61	299882	None
SemiBin_110.fa	5.35	0.05	Neural Network (Specific Model)	11	0.897	16320	340.241935483871	210940	0.47	186	18	45654	None
SemiBin_111.fa	9.97	0.56	Neural Network (Specific Model)	11	0.904	21438	393.1447721179625	486059	0.49	373	51	45592	None
SemiBin_112.fa	4.98	0.08	Neural Network (Specific Model)	11	0.894	6468	297.0671936758893	251506	0.51	253	42	45377	None
SemiBin_113.fa	5.66	0.2	Neural Network (Specific Model)	11	0.87	14161	255.88531187122737	437251	0.44	497	43	45342	None
SemiBin_118.fa	9.42	0.01	Neural Network (Specific Model)	11	0.902	12872	271.807131280389	555747	0.48	617	63	42875	None
SemiBin_12.fa	99.48	0.16	Gradient Boost (General Model)	11	0.882	183993	325.1785856971634	2763476	0.55	2503	42	295838	None
SemiBin_123.fa	8.28	0.0	Neural Network (Specific Model)	11	0.915	8841	320.6756756756757	310147	0.43	296	37	41135	None
SemiBin_125.fa	10.65	0.63	Neural Network (Specific Model)	11	0.851	9699	244.15842696629213	763919	0.47	890	95	39342	None
SemiBin_128.fa	5.6	0.02	Neural Network (Specific Model)	11	0.872	7627	317.6255707762557	238819	0.59	219	36	39057	None
SemiBin_129.fa	10.87	0.22	Neural Network (Specific Model)	11	0.869	12199	278.73473684210524	455445	0.54	475	50	39042	None
SemiBin_13.fa	100.0	3.33	Neural Network (Specific Model)	11	0.907	176390	304.7143310082435	3173087	0.43	3154	42	295130	None
SemiBin_130.fa	6.39	0.0	Neural Network (Specific Model)	11	0.89	9424	262.81957186544344	288706	0.54	327	40	38846	None
SemiBin_131.fa	63.46	0.71	Gradient Boost (General Model)	11	0.882	6451	290.8434731246308	1669393	0.57	1693	291	38729	None
SemiBin_133.fa	5.6	0.22	Neural Network (Specific Model)	11	0.862	11887	277.4431137724551	321224	0.48	334	35	38000	None
SemiBin_135.fa	30.19	0.76	Neural Network (Specific Model)	11	0.887	3745	235.18297101449275	437401	0.27	552	111	37811	None
SemiBin_139.fa	81.53	0.97	Gradient Boost (General Model)	11	0.91	8638	275.6023131672598	2037676	0.48	2248	274	36027	None
SemiBin_14.fa	97.37	2.42	Gradient Boost (General Model)	11	0.868	44349	317.3240137878208	2858675	0.52	2611	101	287935	None
SemiBin_141.fa	6.27	0.0	Neural Network (Specific Model)	11	0.913	3542	284.26934984520125	300397	0.51	323	70	35584	None
SemiBin_142.fa	10.8	0.05	Neural Network (Specific Model)	11	0.893	10261	318.6619273301738	676584	0.48	633	79	35484	None
SemiBin_144.fa	12.5	0.0	Neural Network (Specific Model)	11	0.896	6065	311.8285714285714	619160	0.48	595	110	35438	None
SemiBin_146.fa	40.14	1.05	Gradient Boost (General Model)	11	0.885	9764	317.53909726637	1689127	0.52	1573	220	34346	None
SemiBin_15.fa	97.96	0.0	Gradient Boost (General Model)	11	0.884	49326	330.5951605397859	2407044	0.6	2149	84	286722	None
SemiBin_150.fa	5.64	0.05	Neural Network (Specific Model)	11	0.892	8413	290.728813559322	229879	0.49	236	30	32489	None
SemiBin_151.fa	67.61	0.27	Gradient Boost (General Model)	11	0.862	7237	292.3511680482291	1346181	0.5	1327	217	32483	None
SemiBin_152.fa	7.41	0.0	Neural Network (Specific Model)	11	0.901	12752	306.8978102189781	279292	0.43	274	31	32228	None
SemiBin_153.fa	6.61	0.01	Neural Network (Specific Model)	11	0.932	21126	404.64426877470356	328624	0.51	253	38	32199	None
SemiBin_157.fa	6.43	0.01	Neural Network (Specific Model)	11	0.888	7317	313.269340974212	368312	0.46	349	59	31814	None
SemiBin_158.fa	63.99	2.77	Neural Network (Specific Model)	11	0.87	8819	294.03337453646475	2456225	0.62	2427	348	31355	None
SemiBin_16.fa	99.85	1.33	Neural Network (Specific Model)	11	0.894	121461	324.4170836311651	3041675	0.47	2798	54	281531	None
SemiBin_160.fa	5.71	0.01	Neural Network (Specific Model)	11	0.903	8589	233.0	258189	0.45	335	41	30456	None
SemiBin_164.fa	6.17	0.02	Neural Network (Specific Model)	11	0.884	16083	250.02662721893492	285526	0.54	338	33	29788	None
SemiBin_165.fa	6.32	0.01	Neural Network (Specific Model)	11	0.898	9134	268.57251908396944	233944	0.46	262	34	29224	None
SemiBin_166.fa	54.7	0.02	Neural Network (Specific Model)	11	0.876	5689	279.7694174757282	1575527	0.64	1648	290	28719	None
SemiBin_17.fa	99.83	0.37	Neural Network (Specific Model)	11	0.882	131277	352.646288209607	2195341	0.64	1832	36	274881	None
SemiBin_172.fa	6.3	0.0	Neural Network (Specific Model)	11	0.918	10001	292.6795366795367	246940	0.47	259	33	27805	None
SemiBin_173.fa	51.06	0.11	Gradient Boost (General Model)	11	0.879	5021	273.2492276004119	1806613	0.52	1942	381	27524	None
SemiBin_174.fa	60.73	0.16	Neural Network (Specific Model)	11	0.885	6377	284.4208688906129	2477066	0.53	2578	435	27235	None
SemiBin_175.fa	5.05	0.01	Neural Network (Specific Model)	11	0.858	6128	258.6578947368421	205667	0.52	228	38	26349	None
SemiBin_176.fa	42.39	0.0	Neural Network (Specific Model)	11	0.884	6013	270.0241465445462	1098390	0.6	1201	201	25933	None
SemiBin_18.fa	94.43	0.03	Gradient Boost (General Model)	11	0.882	163757	325.87888362295945	2101742	0.55	1899	41	270133	None
SemiBin_180.fa	7.04	0.07	Neural Network (Specific Model)	11	0.873	10013	316.1605633802817	384289	0.46	355	49	24808	None
SemiBin_181.fa	6.56	0.01	Neural Network (Specific Model)	11	0.9	9678	253.51760563380282	239171	0.52	284	32	24701	None
SemiBin_187.fa	6.43	0.05	Neural Network (Specific Model)	11	0.888	8080	305.53356890459366	291440	0.52	283	46	22994	None
SemiBin_188.fa	5.93	0.0	Neural Network (Specific Model)	11	0.913	7434	340.1	300958	0.42	270	44	22443	None
SemiBin_19.fa	95.98	1.62	Gradient Boost (General Model)	11	0.898	89577	326.8713503649635	3583188	0.47	3288	85	265401	None
SemiBin_192.fa	5.64	0.0	Neural Network (Specific Model)	11	0.88	5522	220.5	211241	0.48	282	40	21865	None
SemiBin_193.fa	49.36	3.91	Neural Network (Specific Model)	11	0.901	5814	279.2904589371981	1534406	0.49	1656	287	21801	None
SemiBin_2.fa	99.59	0.76	Gradient Boost (General Model)	11	0.905	178352	338.3676113360324	2765934	0.53	2470	32	465362	None
SemiBin_20.fa	100.0	1.4	Neural Network (Specific Model)	11	0.895	76584	323.9249525015833	3422705	0.49	3158	75	264041	None
SemiBin_200.fa	46.99	0.0	Gradient Boost (General Model)	11	0.891	4411	263.3981547196593	1245395	0.66	1409	285	20416	None
SemiBin_202.fa	5.62	0.0	Neural Network (Specific Model)	11	0.852	5638	268.1532258064516	233244	0.52	248	44	19704	None
SemiBin_209.fa	7.63	0.05	Neural Network (Specific Model)	11	0.862	6646	248.3395061728395	279200	0.51	324	49	18330	None
SemiBin_21.fa	94.45	0.31	Gradient Boost (General Model)	11	0.892	71180	304.40315934065933	2977227	0.61	2912	72	263924	None
SemiBin_212.fa	5.74	0.0	Neural Network (Specific Model)	11	0.889	4598	268.6502242152466	201371	0.44	223	44	17620	None
SemiBin_216.fa	6.47	0.14	Neural Network (Specific Model)	11	0.889	6699	256.52894736842103	327881	0.55	380	57	17287	None
SemiBin_22.fa	99.98	1.98	Neural Network (Specific Model)	11	0.864	70728	333.7894291754757	2736557	0.54	2365	60	251674	None
SemiBin_220.fa	8.58	0.0	Neural Network (Specific Model)	11	0.879	4482	270.7831978319783	339438	0.52	369	75	16281	None
SemiBin_224.fa	33.03	0.01	Neural Network (Specific Model)	11	0.892	4417	268.6041666666667	1079381	0.49	1200	246	15755	None
SemiBin_228.fa	36.86	1.23	Neural Network (Specific Model)	11	0.841	4383	269.7546875	1229096	0.48	1280	291	15280	None
SemiBin_23.fa	98.47	2.46	Gradient Boost (General Model)	11	0.856	105770	314.3371115173675	3006876	0.51	2735	57	249586	None
SemiBin_236.fa	8.92	0.03	Neural Network (Specific Model)	11	0.864	5609	256.7241379310345	231991	0.35	261	47	14025	None
SemiBin_24.fa	99.04	0.77	Gradient Boost (General Model)	11	0.903	76482	320.63299969669396	3507211	0.46	3297	99	247787	None
SemiBin_243.fa	35.49	0.0	Neural Network (Specific Model)	11	0.89	4143	250.5306623058054	1028815	0.52	1223	251	13053	None
SemiBin_244.fa	33.32	0.01	Neural Network (Specific Model)	11	0.832	4443	266.4382775119617	1000432	0.57	1045	232	12976	None
