contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var	5.bam	5.bam-var	6.bam	6.bam-var
contig_1	622641	25.1624	7.09608	23.9397	0	0	11.2905	10.529	0.0414046	0.0420503	2.60218	5.10702	2.75226	4.81104	1.37997	17.9023
contig_100	8163	332.71	155.885	306.73	40.4053	364.386	115.246	211.968	0	0	20.4841	94.181	0.689629	0.214058	0	0
contig_1005	2084	170.424	45.0636	724.379	0.131851	0.114523	59.6743	93.496	24.4612	85.9413	0.609617	0.720255	13.6598	41.8942	26.8237	149.849
contig_1008	35670	138.388	12.7729	594.181	3.58556	37.7906	91.0344	118.733	5.73761	41.4698	9.85431	177.653	4.66813	42.1551	10.735	144.027
contig_1009	82203	66.7808	12.2044	73.553	0.597175	0.780156	12.0566	14.5226	0.248973	0.213156	20.9398	159.664	14.9151	73.8998	5.8188	36.4879
contig_101	5515	1.7836	0	0	0	0	1.7836	3.06657	0	0	0	0	0	0	0	0
contig_1011	8200	7.87304	0.102733	0.0921924	0	0	2.06124	2.45042	0	0	0	0	5.70907	115.915	0	0
contig_1012	19030	517.719	129.363	2354.37	45.2465	238.513	155.397	5220.24	57.5663	686.577	78.5458	1199.8	17.3229	47.7271	34.2784	507.607
contig_1013	5153	35.5161	5.97422	187.665	3.28343	42.5635	8.10054	15.0955	6.46512	139.479	7.71417	154.323	2.72077	7.50318	1.25785	3.42251
contig_1014	66153	205.989	8.86543	35.3585	57.461	309.479	53.4754	501.74	28.1069	477.198	34.0285	194.14	13.4561	222.725	10.5958	13.2003
contig_1015	128513	22.8244	7.25221	41.9666	0	0	6.80522	8.75251	1.81418	3.14121	0	0	5.06476	16.5589	1.88805	3.18848
contig_1016	1157	28.0218	6.85601	2.42158	0	0	10.0308	1.52092	0.925521	0.0689998	0.960278	0.0381822	3.50149	1.17072	5.74777	0.377669
contig_1017	10819	26.8108	1.21136	9.31526	0.606149	0.447184	7.86428	8.07604	0.00646734	0.00642329	1.3872	2.77372	0.0664542	0.104588	15.6689	8.27513
contig_1018	320190	98.3539	39.1279	990.411	0.131677	0.357136	19.3214	52.573	17.6508	232.653	5.72533	20.9061	14.4924	1163.25	1.9043	4.19669
contig_1019	27559	8.83954	0.714838	4.14355	0.175928	0.984883	6.47605	7.98195	0.0627166	0.078536	0.029078	0.0282422	0.0462622	0.0441432	1.33467	2.04115
contig_102	2999	171.717	3.35346	14.749	32.4096	96.436	128.194	321.995	0	0	7.76027	2.31234	0	0	0	0
contig_1022	35796	21.61	0.230909	1.49723	0.00704146	0.00698916	10.0391	88.1841	0	0	0.205297	0.394129	1.35098	39.9804	9.77666	94.4274
contig_1023	133883	42.124	10.1851	35.9531	0.442464	2.53166	14.953	14.1031	0.728018	5.92071	3.76475	30.0084	8.86845	24.3665	3.18224	47.8638
contig_1024	119926	103.916	18.6918	1535.42	5.13574	215.765	51.4098	722.218	4.84201	131.103	5.2741	79.8407	8.40367	296.116	10.1593	92.4795
contig_1025	7782	68.9893	9.47773	11.3609	0.212788	0.283106	11.017	3.88851	12.5121	113.777	17.2564	264.236	18.3818	203.806	0.13142	0.114166
contig_1026	1554	170.191	53.2201	61.6117	0.399573	0.240088	21.9124	4.80132	52.5954	90.3995	7.85541	2.08383	24.2087	35.2471	9.99929	5.124
contig_1027	5672	4.32669	0.330858	0.43948	0	0	3.99583	1.01736	0	0	0	0	0	0	0	0
contig_1028	3681	24.9411	6.55961	58.774	0.74823	3.3227	3.30615	0.519579	6.06995	41.1582	2.31436	8.60596	4.77542	19.645	1.16737	4.8861
contig_1029	30790	28.1828	7.58107	209.318	0.756984	3.56512	10.2795	11.9239	1.27826	23.351	1.82435	6.07416	5.99321	67.7787	0.469452	1.78901
