contigName	contigLen	totalAvgDepth	scaffolds.fasta/DRR310871_R1.fastq.gz.bam	scaffolds.fasta/DRR310871_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310872_R1.fastq.gz.bam	scaffolds.fasta/DRR310872_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310873_R1.fastq.gz.bam	scaffolds.fasta/DRR310873_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310874_R1.fastq.gz.bam	scaffolds.fasta/DRR310874_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310875_R1.fastq.gz.bam	scaffolds.fasta/DRR310875_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310876_R1.fastq.gz.bam	scaffolds.fasta/DRR310876_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310877_R1.fastq.gz.bam	scaffolds.fasta/DRR310877_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310878_R1.fastq.gz.bam	scaffolds.fasta/DRR310878_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310879_R1.fastq.gz.bam	scaffolds.fasta/DRR310879_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310880_R1.fastq.gz.bam	scaffolds.fasta/DRR310880_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310881_R1.fastq.gz.bam	scaffolds.fasta/DRR310881_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310882_R1.fastq.gz.bam	scaffolds.fasta/DRR310882_R1.fastq.gz.bam-var
NODE_1_length_55700_cov_21.385551	55700	4.9207	46.5673	242.6851	0.4944	2.0041	1.3959	14.1736	0.8141	4.6308	1.0555	11.4366	1.2971	8.8744	1.2421	9.5964	0.4283	6.4678	1.431	10.1268	0.9078	8.8235	1.9511	37.5985	1.4639	10.875
NODE_2_length_54770_cov_7.167906	54770	6.3663	13.3165	21.158	3.7418	16.0069	5.511	30.2707	0.4713	4.6004	5.2707	27.0015	8.6945	56.5499	7.5977	37.4492	7.2119	47.6955	12.5566	94.8932	10.3151	70.1198	0.2589	4.8448	1.4498	4.4834
NODE_3_length_48638_cov_16.927753	48638	5.8921	38.4292	260.4464	0.5408	2.1268	6.4753	22.9329	0.8847	4.1423	4.8605	30.0379	4.2844	15.3761	3.3645	13.6979	0.5343	12.6446	2.7929	10.1881	1.0914	8.1057	2.2073	31.933	5.24	30.0801
NODE_4_length_43299_cov_17.911433	43299	6.2748	39.8477	243.4688	0.6227	6.4683	7.3272	22.8193	0.9671	4.7133	5.0772	28.912	4.321	15.5253	3.8314	17.766	0.4652	5.2008	2.6429	10.7848	1.1658	9.5297	2.9798	56.7002	6.0497	47.3452
NODE_5_length_42960_cov_7.004522	42960	5.4955	13.0835	25.4359	3.5643	23.0739	5.3257	26.8984	0.5094	4.3965	4.4751	27.7711	6.1414	35.2432	6.4064	37.4747	6.9752	611.6921	10.185	77.0664	7.6496	51.8292	0.3008	3.545	1.3299	4.3565
NODE_6_length_40194_cov_7.315504	40194	9.1654	13.7413	21.1233	6.0693	19.0027	8.0092	28.733	0.3836	2.2318	7.6803	27.2775	11.8759	43.2648	12.3817	46.8217	12.4597	59.0919	18.3194	73.3008	16.2732	62.2988	0.2471	1.8463	2.5444	7.8595
NODE_7_length_37377_cov_7.044826	37377	5.3132	13.2584	23.5301	2.1126	7.843	5.1373	28.6167	0.3198	1.533	4.2492	29.7728	6.3918	39.3323	6.454	43.2331	6.6681	47.864	9.415	65.5231	8.3875	68.9619	0.2522	2.1784	1.112	4.4322
NODE_8_length_36750_cov_10.121924	36750	2.4356	25.581	103.1869	0.1528	0.7324	0.2851	1.8701	0.2904	0.947	0.566	3.2498	0.3795	1.1455	0.3628	1.1848	0.0971	0.7347	0.3454	1.6688	0.2407	0.8283	0.5798	11.7708	0.3469	1.2523
NODE_9_length_35076_cov_24.265755	35076	5.0158	51.6665	273.5495	0.3763	1.2469	0.4464	5.311	0.7772	4.2631	0.6669	6.3334	0.7776	4.8561	0.8089	5.8998	0.6751	129.4415	0.8487	5.0766	0.7073	6.5188	1.5618	30.2362	0.8768	11.3034
NODE_10_length_33625_cov_17.292702	33625	5.6394	37.2294	242.6244	0.5161	2.3394	5.9916	26.4045	0.8142	4.5379	3.3527	20.2329	4.8473	14.5175	3.9341	16.1399	0.3442	3.5077	2.0811	9.941	0.9086	6.1826	1.974	31.4925	5.6797	31.2006
NODE_11_length_32626_cov_16.035829	32626	5.3081	35.2937	167.3403	0.5094	2.5265	6.1757	17.5576	0.8859	3.588	4.4168	33.0443	3.2273	14.4887	2.7349	9.8489	0.6545	11.3677	2.226	9.2493	1.0066	6.2075	2.1072	31.1049	4.4596	26.8459
NODE_12_length_31000_cov_16.449766	31000	5.8029	36.8524	227.5363	0.6036	2.4368	5.1969	19.8484	0.9294	4.3719	4.708	23.5661	4.9363	16.407	3.7584	14.6136	0.5581	4.6126	2.5435	10.4681	1.0485	6.7269	2.1856	45.947	6.3146	30.3631
NODE_13_length_30786_cov_17.256451	30786	3.0212	32.319	81.7918	0.2158	0.6563	0.4271	29.3269	0.2223	1.4445	0.2457	1.1906	0.1991	1.1208	0.1785	0.5566	1.324	20.7156	0.3926	1.9184	0.2409	0.5213	0.2345	1.5573	0.2547	2.7565
NODE_14_length_30513_cov_7.921695	30513	5.8852	14.5825	36.8757	3.6578	18.3144	4.7009	23.0128	0.3746	2.1236	4.2694	31.9282	7.2417	50.4572	7.3516	53.3354	5.8879	54.7317	11.305	86.8847	9.6655	80.6093	0.2392	2.4537	1.3459	5.1854
NODE_15_length_29995_cov_17.848530	29995	5.5848	36.8204	242.4675	0.4909	3.3979	6.4508	39.8484	0.7905	5.8301	3.819	43.0945	3.864	16.6199	3.6602	18.541	0.4529	3.8965	2.2093	11.0917	0.9324	10.3125	1.8275	31.7168	5.7002	41.9757
NODE_16_length_29755_cov_19.928148	29755	7.4381	44.9373	219.4533	0.6155	2.3071	8.2115	25.1285	0.9663	5.9632	6.5053	24.2165	6.2113	19.4632	4.8236	23.0266	0.7003	10.0344	3.9307	23.9202	1.233	23.4024	2.3422	39.2186	8.7807	44.0514
NODE_17_length_28770_cov_7.517569	28770	7.5725	13.8116	29.6345	5.3731	168.8403	6.4557	30.6105	0.4558	3.5898	6.1344	32.9355	9.8771	64.2886	9.6447	53.6696	10.4129	86.8794	13.0836	80.6867	13.2571	80.4605	0.2208	0.9576	2.1431	6.8286
