contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var
contig_1	5156	49.5252	9.87435	65.5048	7.5845	30.4428	4.59409	28.4157	9.56073	68.1615	17.9115	271.312
contig_10	575311	369.881	59.265	320.162	49.6389	221.632	76.5188	480.246	59.2683	320.068	125.189	1128.77
contig_100	61586	51.9149	4.96839	27.3444	9.15787	44.348	14.1675	77.4871	4.99762	27.5987	18.6235	164.684
contig_1000	5401	987.995	84.8128	190.003	133.276	519.125	331.591	339.814	85.3043	216.399	353.011	3707.61
contig_1001	2535	50.2231	9.56604	7.68701	4.97107	7.16068	7.54046	31.5995	7.58658	6.5572	20.5589	93.5988
contig_1010	50637	531.494	47.9454	235.913	70.6801	546.705	168.617	2735.49	48.1414	237.306	196.109	3974.62
contig_1011	8669	79.8405	7.97817	9.13838	9.00035	9.79722	18.8142	19.3766	7.97817	9.13838	36.0696	173.704
contig_1017	30337	195.773	18.445	134.986	24.5407	192.427	62.0484	816.092	18.4778	134.767	72.261	1615.96
contig_1018	47546	112.834	10.6637	28.9125	12.8683	35.373	33.2986	158.662	10.6418	29.0102	45.3611	505.75
contig_1025	21958	369.577	41.7135	293.58	51.2428	285.333	100.729	1674.52	41.7079	294.963	134.184	3770.29
contig_1026	3946	145.566	15.7774	102.309	20.9578	59.7732	35.2403	119.403	15.7529	101.837	57.838	441.03
contig_1027	10520	100.577	13.4201	167.174	12.7767	126.368	25.1574	160.267	13.4906	159.247	35.7328	1081.05
contig_1029	38706	78.5532	9.03081	46.4033	12.4974	86.9801	17.0655	85.5734	9.06357	45.9153	30.896	555.695
contig_103	19274	418.636	46.9547	17.1949	57.751	41.6467	109.826	63.3775	46.9723	17.0007	157.133	126.736
contig_1031	16349	81.7651	12.131	35.3896	12.2114	8.04682	14.2535	24.9701	12.1133	35.3608	31.0559	111.382
contig_1032	31715	180.375	21.3272	279.891	27.6425	335.87	38.4199	681.671	21.4501	282.945	71.5355	3649.29
contig_1034	160421	51.6791	6.44646	10.1084	8.08632	9.11266	13.7245	21.8278	6.44646	10.1084	16.9753	30.2979
contig_1038	1.70506e+06	106.94	15.7018	30.153	13.2912	20.5517	29.1522	48.6295	15.7021	29.9365	33.0929	101.696
contig_1040	3514	44.6986	7.92212	12.7866	7.78389	1.32201	8.61326	25.5124	7.81391	11.9885	12.5654	10.2639
contig_1041	287948	108.754	16.1527	19.0613	13.4077	14.8927	31.3863	29.898	16.1457	19.0451	31.6616	43.2182
contig_1042	415919	105.336	15.0165	23.8227	13.2336	18.4547	30.0311	47.4999	15.0112	23.7145	32.0434	49.1889
contig_1043	8095	93.9325	13.3003	14.7427	13.3171	3.72339	26.0994	1.37457	13.3003	14.7427	27.9154	42.8112
contig_1044	131718	102.725	14.7018	46.1227	11.9329	24.8435	29.6801	85.2908	14.7048	46.1829	31.7059	114.712
contig_1045	37307	126.218	21.5907	167.488	19.0802	129.944	14.4478	131.158	21.5907	167.488	49.5086	875.118
contig_1046	181129	85.4362	12.6192	15.7447	12.175	14.5243	16.1503	13.1708	12.6095	15.5858	31.8823	54.4217
contig_1048	37345	82.4256	10.2931	281.226	12.4632	264.807	17.6344	461.694	10.2881	280.643	31.7468	2511.01
contig_1049	44421	90.8391	12.5412	113.801	12.5667	101.292	17.4757	359.125	12.5414	113.624	35.7141	875.696
contig_105	30329	84.1444	12.8157	121.342	14.5244	182.172	15.9702	209.145	12.8217	121.619	28.0124	780.197
contig_1054	155687	96.7509	10.3102	73.14	13.3987	142.357	28.3768	997.801	10.3138	72.9045	34.3514	1005.22
