contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var	5.bam	5.bam-var	6.bam	6.bam-var
contig_1	207661	235.548	123.695	2094.19	9.39903	16.1065	75.3397	777.565	0.00295888	0.00294155	2.80121	2.91158	19.2701	72.0194	5.03955	8.23194
contig_10	611	4.4013	0	0	2.4577	0.913975	1.54013	0.67937	0.138829	0.119815	0	0	0.264642	0.19503	0	0
contig_100	24003	154.217	0.507944	0.647647	9.04876	27.3237	124.327	1824.32	1.33614	0.958702	2.37077	2.54431	2.30726	3.7866	14.3191	184.363
contig_1000	35631	41.8717	2.64964	6.21572	4.94741	6.43955	5.96438	166.214	0.0899073	0.0818071	16.7475	71.9779	1.66196	3.75814	9.81091	101.376
contig_1001	19213	92.4786	3.17631	4.59637	5.42449	9.27654	40.4896	3375.59	0.175733	0.181378	14.3868	251.21	2.16377	5.94789	26.6619	275.332
contig_1002	19107	30.3622	1.52234	2.15519	5.19011	12.4609	6.98101	23.8569	0.0877248	0.127123	8.17672	40.4489	1.52667	2.74879	6.87762	38.4345
contig_1003	8660	51.1805	1.77133	6.13322	4.68978	17.1741	30.2798	2187.04	3.22139	24.4303	7.01363	157.596	4.11222	38.5721	0.0923619	0.0838449
contig_1004	10570	6.0904	1.64261	2.71129	4.44175	6.08001	0.00604607	0.00601098	0	0	0	0	0	0	0	0
contig_1005	6830	11	2.81976	1.81091	3.10105	1.56471	2.01153	0.89506	0.561078	0.340617	2.06407	2.12768	0.0929641	0.335855	0.349551	0.36006
contig_1006	9428	10.7429	5.3047	3.15388	3.67321	2.34309	1.662	1.1242	0	0	0.0446217	0.0426285	0.0584178	0.0550113	0	0
contig_1007	613218	396.992	85.9624	1026.56	79.9897	263.699	62.9247	569.499	0	0	167.882	2891.91	0.134424	0.163487	0.0994816	0.104793
contig_1008	22420	51.8662	4.03987	47.7508	2.50741	1.58347	26.3797	1155.71	7.1502	27.4709	0.00538841	0.00536006	5.49443	25.503	6.28927	65.8414
contig_1009	9876	14.4985	0	0	5.94479	4.61018	0	0	0	0	8.55367	108.953	0	0	0	0
contig_101	68335	81.939	0.937068	1.50648	4.59004	8.27751	56.2464	4443.96	0.65268	1.27647	0.945384	3.55104	0.694112	1.48131	17.8733	351.931
contig_1010	2753	5.80446	0	0	4.6189	0.774787	0.337303	0.532607	0	0	0	0	0.848252	0.520031	0	0
contig_1011	27481	186.433	4.40456	8.0363	6.34898	4.21423	128.492	5778.04	0.833266	1.3859	3.07219	3.98474	2.03077	3.21201	41.2518	473.441
contig_1012	15860	15.7821	3.93348	3.77654	3.05353	1.79482	5.06996	3.38745	1.60465	2.64975	1.45563	1.21734	0.423616	0.396708	0.241184	0.203902
contig_1013	471748	260.701	144.643	3037.36	10.8668	17.7451	78.3606	1194.6	0.0181362	0.0967644	2.80029	3.8966	20.2747	96.9793	3.73716	8.58609
contig_1018	124710	200.717	112.136	4713.54	10.2327	12.1805	59.9856	1348.65	0.260742	2.92305	2.13287	3.50653	13.0375	68.4456	2.93185	6.65095
contig_102	53658	16.2993	2.73365	3.83697	3.18775	3.33955	4.78082	13.0883	0.317747	0.35197	2.44603	3.61315	0.821391	1.05461	2.01196	2.40548
contig_1021	3827	2.95757	0	0	2.95757	0.81756	0	0	0	0	0	0	0	0	0	0
contig_1022	4142	12.2783	0	0	5.02104	11.495	0	0	0	0	6.24274	25.9099	0.422595	0.283152	0.591934	0.241601
contig_1023	15228	2.2828	0.0505372	0.0479887	1.6288	0.698265	0.197838	0.201794	0.139607	0.126254	0.017111	0.0168172	0.248906	0.327226	0	0
contig_1024	2562	185.676	31.0912	346.293	15.3789	6.42619	47.051	325.196	33.369	700.081	14.9237	28.291	30.2284	1332.26	13.6335	5.2153
contig_1025	17066	80.6652	0	0	2.71382	0.742367	77.7992	131.22	0	0	0.152105	0.128977	0	0	0	0
contig_1026	29100	5.90808	0.970224	1.10317	3.19358	2.64873	1.10812	5.06182	0	0	0.182522	0.424815	0.354128	0.626946	0.0995164	0.16302
contig_1027	8853	78.7052	3.24555	1.9954	5.5505	3.67491	22.2063	35.0701	0	0	20.0593	17.8462	4.2837	3.35088	23.3599	48.9577
contig_1029	14220	15.7539	3.37598	1.50924	2.99837	1.78972	3.70412	1.23681	0	0	0	0	4.9506	3.11725	0.724876	0.199431
contig_103	16925	28.767	0	0	5.74325	8.64419	0	0	0.0756483	0.0699329	22.6409	142.974	0.0392847	0.0377303	0.267958	0.196161
contig_1030	26220	172.866	26.513	859.704	6.85217	10.8163	69.9884	5187.29	0.24603	0.852597	20.6809	381.787	48.2986	2482.75	0.287073	0.734115
contig_1031	19565	106.599	20.4396	21.4009	3.70708	2.9747	39.9434	51.3534	0.33402	1.0672	13.9096	16.9104	28.0743	54.2039	0.190626	0.313048
contig_1032	1617	73.9087	6.0334	0.548004	6.23313	0.671385	9.39127	2.94505	0	0	33.9018	6.49113	3.50852	0.378339	14.8405	1.84221
contig_1033	5976	21.8764	2.25421	1.6956	4.2506	5.31564	6.23155	2.50893	0.22966	0.176942	2.31428	7.10508	0.398043	0.890293	6.19808	4.71799
contig_1034	30902	5.8046	0	0	3.22795	2.33653	1.02293	1.03711	0.799785	1.29551	0.23127	0.177786	0.0175924	0.0914621	0.505073	0.714937
contig_1035	14994	28.2606	4.4356	5.5229	3.51408	2.66977	6.88258	10.9028	0.104823	0.0938414	7.88756	14.3452	0	0	5.436	7.18806
contig_1036	2288	4.26894	0.0762395	0.0704609	4.14359	1.0917	0.0491113	0.0467204	0	0	0	0	0	0	0	0
contig_1037	32383	175.692	112.81	2656.33	6.94409	19.4951	35.6665	1206.62	0	0	2.85893	5.51993	12.7743	126.988	4.63758	9.62347
contig_1038	8010	3.80891	0.589695	0.705383	1.79173	0.59404	0.807125	0.819084	0	0	0	0	0.620356	0.913948	0	0
contig_1039	13607	126.483	0.531768	6.28647	4.31471	3.59079	87.3495	134.592	5.0561	6.6557	23.8162	16.3247	0	0	5.4148	3.33039
contig_104	8931	20.7389	0	0	6.88498	6.14045	0	0	0	0	13.8539	17.2138	0	0	0	0
contig_1040	33576	123.622	64.4863	4169.4	5.80054	4.37863	41.4622	1385.81	0.0145994	0.0143871	1.76823	4.84909	9.14857	84.7162	0.941812	2.14571
contig_1041	16158	89.5668	1.08527	1.21891	4.9499	7.86868	62.0448	7922.22	0.534358	0.768512	1.6275	4.20093	1.97907	1.56277	17.3459	462.03
contig_1042	9084	10.8463	1.61663	2.23857	3.24379	4.56056	4.48545	17.058	0.692635	0.21292	0.366241	0.312952	0	0	0.441572	0.478557
contig_1043	9759	8.76616	0.067749	0.0631558	4.93194	1.98726	0	0	0	0	1.54147	25.6825	2.225	12.6442	0	0
contig_1044	58549	217.406	4.078	3.88972	8.0631	8.00136	167.239	1178.16	1.33168	1.05783	1.77616	2.63153	2.64112	2.35268	32.277	371.316
contig_1045	445647	147.579	8.18628	162.907	51.6343	61.1724	32.6089	854.211	18.3284	352.612	18.955	349.603	12.079	227.188	5.78724	32.376
contig_1046	426018	126.621	7.10615	227.192	5.62023	12.225	50.7126	799.556	13.1374	73.3347	26.1328	210.742	9.80692	108.126	14.1052	82.4171
contig_1048	4921	30.2079	2.49214	5.65751	3.18068	2.63771	15.3287	445.253	1.489	5.11881	1.19702	3.21606	5.83463	64.4607	0.68581	0.875008
contig_105	2.26203e+06	156.425	24.1607	118.935	57.9466	201.864	43.5453	424.711	0.0273069	0.0410036	22.3738	131.011	0.423791	0.47516	7.94698	23.7335
contig_1050	45755	30.2502	4.48115	39.3669	3.45105	2.90717	8.6985	124.775	0.707401	11.675	2.92464	21.5935	9.40211	84.1578	0.585331	1.79684
contig_1051	55083	46.2594	9.47755	400.404	4.4346	7.53125	15.1733	1135.02	1.70306	30.1919	5.29984	32.9935	4.08765	87.9131	6.08343	134.468
