Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
maxbin_6869036.001	97.41	0.0	Gradient Boost (General Model)	11	0.905	135040	347.2358490566038	2801736	0.57	2438	61	359258	None
maxbin_6869036.002	13.65	0.34	Neural Network (Specific Model)	11	0.936	2982	266.05465587044534	420748	0.67	494	151	10290	None
maxbin_6869036.003	66.61	4.47	Gradient Boost (General Model)	11	0.88	3261	312.690802919708	3646112	0.55	3425	1196	18963	None
maxbin_6869036.004	32.63	5.36	Neural Network (Specific Model)	11	0.876	2747	248.26636904761904	1709441	0.55	2016	620	28746	None
maxbin_6869036.005	36.67	10.15	Neural Network (Specific Model)	11	0.906	2876	237.06817016914403	1527585	0.7	1951	537	19167	None
maxbin_6869036.006	27.94	4.86	Neural Network (Specific Model)	11	0.816	3035	219.66051040967093	2395445	0.38	2978	798	54571	None
maxbin_6869036.007	76.75	4.79	Gradient Boost (General Model)	11	0.849	13618	277.47079236552923	1694684	0.54	1729	242	43317	None
maxbin_6869036.008	43.11	5.87	Gradient Boost (General Model)	11	0.854	2682	240.09359903381642	1392774	0.48	1656	513	24677	None
maxbin_6869036.009	39.91	5.08	Gradient Boost (General Model)	11	0.766	4025	187.9712643678161	1147605	0.3	1566	310	77549	None
maxbin_6869036.010	44.46	15.71	Gradient Boost (General Model)	11	0.774	3180	211.86869565217393	6599378	0.35	8050	2155	37331	None
maxbin_6869036.011	67.96	32.39	Gradient Boost (General Model)	11	0.905	6810	302.4462425182886	4516500	0.72	4511	1055	216340	None
maxbin_6869036.012	51.41	16.84	Gradient Boost (General Model)	11	0.894	3992	265.56940736785907	3329900	0.61	3746	928	77032	None
maxbin_6869036.013	96.76	18.9	Gradient Boost (General Model)	11	0.826	16975	333.7720113085622	5998481	0.55	4952	905	91551	None
maxbin_6869036.014	70.85	24.66	Gradient Boost (General Model)	11	0.915	8308	283.4934895833333	2848796	0.68	3072	490	58725	None
maxbin_6869036.015	67.29	13.9	Gradient Boost (General Model)	11	0.924	5003	265.3099945085118	3130518	0.72	3642	738	36209	None
maxbin_6869036.016	22.33	1.2	Neural Network (Specific Model)	11	0.946	3256	697.3373639661427	1828865	0.61	827	583	55903	None
maxbin_6869036.017	47.37	0.25	Neural Network (Specific Model)	11	0.915	3017	283.9483739837398	2283967	0.58	2460	780	21966	None
maxbin_6869036.018	100.0	1.53	Gradient Boost (General Model)	11	0.925	37272	318.1871473354232	3286771	0.69	3190	207	153002	None
maxbin_6869036.019	61.24	19.67	Gradient Boost (General Model)	11	0.919	5342	260.2988940628638	2910888	0.75	3436	695	25225	None
maxbin_6869036.020	67.51	4.7	Gradient Boost (General Model)	11	0.881	6952	294.51797645561567	3149316	0.73	3143	589	40764	None
maxbin_6869036.021	64.92	18.08	Gradient Boost (General Model)	11	0.902	3557	254.02371541501975	2984136	0.69	3542	911	29994	None
maxbin_6869036.022	31.33	7.98	Neural Network (Specific Model)	11	0.913	4140	315.4162023146164	2413399	0.7	2333	657	66709	None
maxbin_6869036.023	61.17	26.97	Gradient Boost (General Model)	11	0.914	6695	274.41535826434483	3146820	0.66	3503	633	36640	None
maxbin_6869036.024	75.82	1.85	Gradient Boost (General Model)	11	0.828	9993	269.8537027446919	3766651	0.47	3862	613	55169	None
maxbin_6869036.025	92.24	2.95	Neural Network (Specific Model)	11	0.915	45478	303.9878954607978	3617987	0.72	3635	193	198721	None
maxbin_6869036.026	84.56	14.23	Gradient Boost (General Model)	11	0.903	10517	298.8915968519929	3908172	0.74	3939	712	68280	None
maxbin_6869036.027	56.49	15.69	Gradient Boost (General Model)	11	0.862	23204	387.50741656365886	4361558	0.7	3236	369	97650	None
maxbin_6869036.028	85.14	4.01	Gradient Boost (General Model)	11	0.896	20909	337.2809364548495	4046144	0.72	3588	443	138422	None
maxbin_6869036.029	86.61	12.27	Gradient Boost (General Model)	11	0.921	7427	333.46852957135104	3996559	0.67	3686	748	41840	None
maxbin_6869036.030	44.51	9.92	Gradient Boost (General Model)	11	0.924	4961	286.1005949161709	1713154	0.7	1849	422	51421	None
maxbin_6869036.031	42.43	12.11	Gradient Boost (General Model)	11	0.915	4690	286.94869706840393	2304980	0.68	2456	597	30884	None
maxbin_6869036.032	66.71	8.49	Gradient Boost (General Model)	11	0.867	5810	314.03698406211686	5306891	0.66	4894	1214	44890	None
maxbin_6869036.033	75.64	16.44	Gradient Boost (General Model)	11	0.888	4506	285.76107594936707	4875436	0.68	5056	1315	90044	None
maxbin_6869036.034	78.93	22.13	Gradient Boost (General Model)	11	0.908	11639	271.3997947138825	3486318	0.73	3897	539	75729	None
maxbin_6869036.035	82.0	23.56	Gradient Boost (General Model)	11	0.916	14094	333.9458333333333	5240231	0.71	4800	818	116023	None
maxbin_6869036.036	77.46	16.81	Gradient Boost (General Model)	11	0.88	2819	292.9550673000792	5035724	0.6	5052	1857	16289	None
maxbin_6869036.037	59.12	29.17	Gradient Boost (General Model)	11	0.903	6531	272.61488353730755	4580767	0.67	5066	951	50842	None
maxbin_6869036.038	65.05	9.48	Gradient Boost (General Model)	11	0.916	3435	333.64922921405105	4314013	0.6	3957	1367	17102	None
maxbin_6869036.039	81.43	8.18	Gradient Boost (General Model)	11	0.864	6732	290.26975169300226	5348369	0.72	5316	1115	54310	None
maxbin_6869036.040	64.18	29.85	Gradient Boost (General Model)	11	0.911	7575	284.6280782993054	4443068	0.72	4751	890	46592	None
maxbin_6869036.041	36.07	6.86	Neural Network (Specific Model)	11	0.918	4404	264.2905296950241	1610997	0.7	1869	435	16854	None
maxbin_6869036.042	23.05	2.17	Neural Network (Specific Model)	11	0.82	5240	252.0225988700565	2278961	0.47	2478	557	41162	None
maxbin_6869036.043	84.47	30.11	Gradient Boost (General Model)	11	0.895	8092	357.91091686814207	6443183	0.65	5377	1196	88985	None
maxbin_6869036.044	67.36	32.52	Gradient Boost (General Model)	11	0.875	3911	293.4945221004911	5320512	0.53	5294	1481	65369	None
maxbin_6869036.045	98.73	11.34	Gradient Boost (General Model)	11	0.853	7507	285.9030430560052	6202665	0.43	6178	1299	43668	None
maxbin_6869036.046	65.17	5.05	Gradient Boost (General Model)	11	0.863	16835	361.1228138359891	3226343	0.69	2573	313	103725	None
maxbin_6869036.047	69.48	33.73	Gradient Boost (General Model)	11	0.874	3774	319.30799764775065	7451879	0.45	6802	2174	31402	None
maxbin_6869036.048	34.96	17.0	Neural Network (Specific Model)	11	0.885	2774	376.0549714629018	4238830	0.43	3329	1522	58463	None
maxbin_6869036.049	92.96	55.72	Gradient Boost (General Model)	11	0.876	6157	323.1446184605132	9953915	0.6	9003	2140	87500	None
maxbin_6869036.050	56.6	7.67	Gradient Boost (General Model)	11	0.851	5326	304.12631578947367	1932743	0.48	1805	449	83274	None
maxbin_6869036.051	80.5	24.4	Gradient Boost (General Model)	11	0.836	33893	308.8090692124105	3246429	0.48	2933	357	198714	None
maxbin_6869036.052	41.89	16.1	Gradient Boost (General Model)	11	0.917	6960	271.5883416177135	1961209	0.68	2213	350	77191	None
maxbin_6869036.053	34.22	9.13	Neural Network (Specific Model)	11	0.921	11707	277.7566137566138	1534181	0.7	1701	222	39324	None
maxbin_6869036.054	73.16	37.78	Gradient Boost (General Model)	11	0.89	14476	323.19152046783626	3720238	0.74	3420	411	62562	None
maxbin_6869036.055	57.1	16.96	Gradient Boost (General Model)	11	0.887	11656	327.76960784313724	3615586	0.76	3264	495	51186	None
maxbin_6869036.056	41.87	6.74	Gradient Boost (General Model)	11	0.895	5086	263.08885881822283	1950986	0.66	2217	479	41843	None
maxbin_6869036.057	18.38	5.42	Neural Network (Specific Model)	11	0.915	2472	266.64074074074074	471456	0.67	540	184	11791	None
maxbin_6869036.058	43.08	11.07	Gradient Boost (General Model)	11	0.894	4560	248.32771878432808	2269802	0.65	2731	575	93417	None
maxbin_6869036.059	51.35	16.96	Gradient Boost (General Model)	11	0.914	4726	274.7086647132692	2148776	0.65	2389	540	65357	None
maxbin_6869036.060	32.78	10.77	Neural Network (Specific Model)	11	0.934	3529	256.2873443983402	1582583	0.74	1928	510	22904	None
maxbin_6869036.061	55.99	19.73	Gradient Boost (General Model)	11	0.921	4674	262.44611989702094	2317480	0.72	2719	601	21051	None
maxbin_6869036.062	70.01	24.64	Gradient Boost (General Model)	11	0.887	3583	302.13157894736844	3335086	0.63	3268	1017	24409	None
maxbin_6869036.063	61.36	12.06	Gradient Boost (General Model)	11	0.894	5758	261.2829964328181	2207415	0.63	2523	485	67576	None
maxbin_6869036.064	47.67	17.4	Neural Network (Specific Model)	11	0.914	3963	252.65686581169848	2645358	0.71	3197	755	31263	None
maxbin_6869036.065	33.2	1.02	Neural Network (Specific Model)	11	0.86	2316	279.7755102040816	1671199	0.67	1715	709	7852	None
maxbin_6869036.066	17.12	1.97	Neural Network (Specific Model)	11	0.892	3384	264.0179977502812	786713	0.65	889	242	47439	None
maxbin_6869036.067	9.66	0.79	Neural Network (Specific Model)	11	0.889	3290	246.99668874172184	251299	0.67	302	81	10568	None
maxbin_6869036.068	7.1	0.17	Neural Network (Specific Model)	11	0.908	3171	306.4844444444444	227687	0.67	225	76	8268	None
maxbin_6869036.069	15.16	0.97	Neural Network (Specific Model)	11	0.887	2715	285.6388367729831	1028614	0.62	1066	388	14301	None
maxbin_6869036.070	29.77	7.69	Neural Network (Specific Model)	11	0.897	8657	276.54345991561183	1092793	0.62	1185	205	83222	None
maxbin_6869036.071	21.51	5.47	Neural Network (Specific Model)	11	0.893	4582	264.9981343283582	952379	0.63	1072	252	31876	None
maxbin_6869036.072	24.46	1.53	Neural Network (Specific Model)	11	0.877	14025	323.36906710310967	1349230	0.66	1222	209	122852	None
maxbin_6869036.073	20.13	7.27	Neural Network (Specific Model)	11	0.862	30743	354.2020202020202	1096899	0.67	891	79	141039	None
maxbin_6869036.074	20.14	1.69	Neural Network (Specific Model)	11	0.91	3692	244.04269293924466	488555	0.65	609	144	17229	None
maxbin_6869036.075	27.52	7.96	Neural Network (Specific Model)	11	0.907	6368	258.7698289269051	549676	0.65	643	116	29371	None
maxbin_6869036.076	21.43	1.15	Neural Network (Specific Model)	11	0.89	4882	309.8505843071786	1250295	0.62	1198	295	36363	None
maxbin_6869036.077	13.86	0.61	Neural Network (Specific Model)	11	0.879	3331	291.835466179159	544297	0.6	547	168	13491	None
maxbin_6869036.078	8.74	1.14	Neural Network (Specific Model)	11	0.835	3152	228.19827586206895	284852	0.6	348	99	9404	None
maxbin_6869036.079	10.46	2.66	Neural Network (Specific Model)	11	0.844	3595	251.73854447439354	331341	0.6	371	94	30606	None
