Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414583_bwa_single_metabat2_short_bin.1	39.35	0.09	Neural Network (Specific Model)	11	0.844	92701	326.20867208672087	1281888	0.65	1107	27	130702	None
ERR3414583_bwa_single_metabat2_short_bin.10	68.94	0.0	Neural Network (Specific Model)	11	0.879	77603	330.55265017667847	1594683	0.53	1415	31	250168	None
ERR3414583_bwa_single_metabat2_short_bin.100	28.59	0.82	Neural Network (Specific Model)	11	0.839	26392	325.52832674571806	881430	0.69	759	55	77218	None
ERR3414583_bwa_single_metabat2_short_bin.101	75.25	0.07	Gradient Boost (General Model)	11	0.895	112931	340.68605577689243	1430960	0.59	1255	24	196650	None
ERR3414583_bwa_single_metabat2_short_bin.102	39.65	0.86	Neural Network (Specific Model)	11	0.908	5649	294.4297153024911	1089977	0.53	1124	210	20656	None
ERR3414583_bwa_single_metabat2_short_bin.103	13.41	0.01	Neural Network (Specific Model)	11	0.892	44414	341.07086614173227	435670	0.49	381	12	90903	None
ERR3414583_bwa_single_metabat2_short_bin.104	53.71	0.06	Neural Network (Specific Model)	11	0.887	117342	324.5474060822898	2449447	0.51	2236	34	249760	None
ERR3414583_bwa_single_metabat2_short_bin.105	6.67	0.11	Neural Network (Specific Model)	11	0.87	15488	221.69040247678018	245610	0.4	323	31	57424	None
ERR3414583_bwa_single_metabat2_short_bin.106	8.14	0.0	Neural Network (Specific Model)	11	0.874	132945	337.195530726257	207028	0.61	179	2	132945	None
ERR3414583_bwa_single_metabat2_short_bin.107	98.48	0.93	Gradient Boost (General Model)	11	0.908	149196	339.6738366988586	2552283	0.53	2278	29	339756	None
ERR3414583_bwa_single_metabat2_short_bin.108	74.81	0.04	Gradient Boost (General Model)	11	0.891	63203	328.65299260255546	1643525	0.49	1487	40	188262	None
ERR3414583_bwa_single_metabat2_short_bin.109	23.15	0.0	Neural Network (Specific Model)	11	0.887	101633	309.97569444444446	602321	0.61	576	9	154352	None
ERR3414583_bwa_single_metabat2_short_bin.11	25.23	0.01	Neural Network (Specific Model)	11	0.893	141340	330.1437768240343	516060	0.65	466	4	253593	None
ERR3414583_bwa_single_metabat2_short_bin.110	6.34	0.02	Neural Network (Specific Model)	11	0.872	151032	269.1181434599156	219127	0.53	237	5	151032	None
