Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
biofilm/bins/SRR6869036_fairy_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.16.fa	biofilm/bins/SRR6869036_bwa_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.36.fa	100.00	29.16	94.73	NODE_1002_length_31263_cov_13.180947	NODE_1002_length_31263_cov_13.180947
biofilm/bins/SRR6869035_fairy_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.32.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.118.fa	100.00	39.60	3.44	NODE_100_length_79714_cov_9.756738	NODE_100_length_79714_cov_9.756738
biofilm/bins/SRR6869035_fairy_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.88.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.118.fa	100.00	95.96	87.84	NODE_657_length_40951_cov_8.982590	NODE_100_length_79714_cov_9.756738
biofilm/bins/SRR6869036_fairy_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.53.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.118.fa	99.04	80.51	79.90	NODE_591_length_40543_cov_10.227129	NODE_100_length_79714_cov_9.756738
biofilm/bins/SRR6869035_fairy_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.68.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.69.fa	100.00	10.23	81.38	NODE_27_length_110086_cov_34.082350	NODE_101_length_79648_cov_45.292048
biofilm/bins/SRR6869036_fairy_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.95.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.69.fa	90.70	3.59	33.26	NODE_88_length_87781_cov_133.993719	NODE_101_length_79648_cov_45.292048
biofilm/bins/SRR6869034_fairy_all_metabat2_short/SRR6869034_fairy_all_metabat2_short_bin.47.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.69.fa	89.27	2.94	23.32	NODE_76_length_52095_cov_209.605246	NODE_101_length_79648_cov_45.292048
biofilm/bins/SRR6869035_fairy_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.93.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.69.fa	86.96	2.57	23.35	NODE_25_length_111679_cov_113.146528	NODE_101_length_79648_cov_45.292048
biofilm/bins/SRR6869036_fairy_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.96.fa	biofilm/bins/SRR6869036_bwa_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.32.fa	100.00	98.68	96.58	NODE_101_length_83222_cov_82.035014	NODE_101_length_83222_cov_82.035014
biofilm/bins/SRR6869035_fairy_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.102.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.85.fa	98.96	13.75	70.03	NODE_501_length_45426_cov_36.281347	NODE_1024_length_33276_cov_39.483700
biofilm/bins/SRR6869036_fairy_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.65.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.85.fa	92.17	6.47	45.13	NODE_51_length_112139_cov_38.232005	NODE_1024_length_33276_cov_39.483700
biofilm/bins/SRR6869035_fairy_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.43.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.85.fa	90.85	6.41	31.21	NODE_944_length_34510_cov_61.160847	NODE_1024_length_33276_cov_39.483700
biofilm/bins/SRR6869035_fairy_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.85.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.85.fa	87.42	4.60	20.89	NODE_117_length_76542_cov_23.545269	NODE_1024_length_33276_cov_39.483700
biofilm/bins/SRR6869035_fairy_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.97.fa	biofilm/bins/SRR6869035_bwa_all_metabat2_short/SRR6869035_fairy_all_metabat2_short_bin.83.fa	100.00	95.43	66.22	NODE_10270_length_7333_cov_5.682193	NODE_10270_length_7333_cov_5.682193
