Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name	Environment	Same_sample
sediment/bins/DRR310871_fairy_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.9.fa	sediment/bins/DRR310871_bwa_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.2.fa	100.0	99.43	80.03	DRR310871_fairy_all_metabat2_short_bin.9	DRR310871_fairy_all_metabat2_short_bin.2	Sediment	True
chicken/bins/ERR3414582_fairy_all_metabat2_short/ERR3414582_fairy_all_metabat2_short_bin.58.fa	chicken/bins/ERR3414582_bwa_all_metabat2_short/ERR3414582_bwa_all_metabat2_short_bin.3.fa	100.0	91.03	99.42	ERR3414582_fairy_all_metabat2_short_bin.58	ERR3414582_bwa_all_metabat2_short_bin.3	Chicken caecum	True
sediment/bins/DRR310871_fairy_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.7.fa	sediment/bins/DRR310871_bwa_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.4.fa	100.0	99.88	94.09	DRR310871_fairy_all_metabat2_short_bin.7	DRR310871_fairy_all_metabat2_short_bin.4	Sediment	True
biofilm/bins/SRR6869036_fairy_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.97.fa	biofilm/bins/SRR6869036_bwa_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.22.fa	100.0	93.49	94.78	SRR6869036_fairy_all_metabat2_short_bin.97	SRR6869036_fairy_all_metabat2_short_bin.22	Biofilm	True
wallen_subsamp/bins/SRR19064413_fairy_all_metabat2_short/SRR19064413_fairy_all_metabat2_short_bin.4.fa	wallen_subsamp/bins/SRR19064413_bwa_all_metabat2_short/SRR19064413_fairy_all_metabat2_short_bin.32.fa	100.0	65.71	64.81	SRR19064413_fairy_all_metabat2_short_bin.4	SRR19064413_fairy_all_metabat2_short_bin.32	Human gut	True
sediment/bins/DRR310871_fairy_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.6.fa	sediment/bins/DRR310871_bwa_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.5.fa	100.0	97.47	96.71	DRR310871_fairy_all_metabat2_short_bin.6	DRR310871_fairy_all_metabat2_short_bin.5	Sediment	True
sediment/bins/DRR310871_fairy_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.2.fa	sediment/bins/DRR310871_bwa_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.6.fa	100.0	64.38	100.0	DRR310871_fairy_all_metabat2_short_bin.2	DRR310871_fairy_all_metabat2_short_bin.6	Sediment	True
sediment/bins/DRR310871_fairy_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.2.fa	sediment/bins/DRR310871_bwa_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.7.fa	100.0	29.82	65.23	DRR310871_fairy_all_metabat2_short_bin.2	DRR310871_fairy_all_metabat2_short_bin.7	Sediment	True
biofilm/bins/SRR6869036_fairy_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.12.fa	biofilm/bins/SRR6869036_bwa_all_metabat2_short/SRR6869036_fairy_all_metabat2_short_bin.79.fa	100.0	84.26	82.51	SRR6869036_fairy_all_metabat2_short_bin.12	SRR6869036_fairy_all_metabat2_short_bin.79	Biofilm	True
sediment/bins/DRR310871_fairy_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.5.fa	sediment/bins/DRR310871_bwa_all_metabat2_short/DRR310871_fairy_all_metabat2_short_bin.9.fa	100.0	98.13	97.59	DRR310871_fairy_all_metabat2_short_bin.5	DRR310871_fairy_all_metabat2_short_bin.9	Sediment	True
