Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414574_fairy_all_metabat2_short_bin.1	33.92	0.14	Neural Network (Specific Model)	11	0.884	5597	270.29368575624085	623599	0.28	681	143	16209	None
ERR3414574_fairy_all_metabat2_short_bin.10	37.38	0.69	Neural Network (Specific Model)	11	0.865	72748	313.58544652701215	984693	0.57	907	26	138999	None
ERR3414574_fairy_all_metabat2_short_bin.100	97.41	0.71	Gradient Boost (General Model)	11	0.876	92342	327.71517595307915	3056415	0.63	2728	59	349803	None
ERR3414574_fairy_all_metabat2_short_bin.101	91.98	0.85	Gradient Boost (General Model)	11	0.898	16654	315.2796486090776	2871018	0.51	2732	270	80152	None
ERR3414574_fairy_all_metabat2_short_bin.102	70.62	0.03	Gradient Boost (General Model)	11	0.879	13424	314.3267326732673	1623375	0.55	1515	204	80118	None
ERR3414574_fairy_all_metabat2_short_bin.103	58.16	0.24	Neural Network (Specific Model)	11	0.9	26104	312.72	2183899	0.45	2100	132	75174	None
ERR3414574_fairy_all_metabat2_short_bin.104	29.29	0.07	Neural Network (Specific Model)	11	0.901	49589	332.77712264150944	937582	0.47	848	23	131530	None
ERR3414574_fairy_all_metabat2_short_bin.105	99.84	1.58	Neural Network (Specific Model)	11	0.862	54946	308.6283326701154	2696082	0.6	2513	97	206670	None
ERR3414574_fairy_all_metabat2_short_bin.106	69.49	0.66	Gradient Boost (General Model)	11	0.897	6787	274.7891036906854	2085874	0.59	2276	400	55359	None
ERR3414574_fairy_all_metabat2_short_bin.107	70.82	0.24	Neural Network (Specific Model)	11	0.853	16625	293.298600311042	1987141	0.26	1929	180	76458	None
ERR3414574_fairy_all_metabat2_short_bin.108	97.34	1.06	Neural Network (Specific Model)	11	0.87	45571	331.69167321288296	2906954	0.51	2546	97	109379	None
ERR3414574_fairy_all_metabat2_short_bin.109	53.16	2.75	Neural Network (Specific Model)	11	0.896	8524	294.90818858560795	1985984	0.46	2015	331	47237	None
ERR3414574_fairy_all_metabat2_short_bin.11	94.74	5.31	Gradient Boost (General Model)	11	0.872	70783	306.43139931740615	1542160	0.28	1465	35	170891	None
ERR3414574_fairy_all_metabat2_short_bin.110	32.18	0.06	Neural Network (Specific Model)	11	0.881	196511	311.2958748221906	744170	0.55	703	7	233121	None
ERR3414574_fairy_all_metabat2_short_bin.111	72.66	0.71	Gradient Boost (General Model)	11	0.873	7215	250.63082039911308	775578	0.31	902	139	25183	None
ERR3414574_fairy_all_metabat2_short_bin.112	12.25	0.01	Neural Network (Specific Model)	11	0.884	6949	285.7096774193548	270095	0.54	279	48	43514	None
ERR3414574_fairy_all_metabat2_short_bin.113	93.68	0.25	Neural Network (Specific Model)	11	0.917	26801	310.85999185999185	2491394	0.5	2457	138	111852	None
ERR3414574_fairy_all_metabat2_short_bin.114	57.19	1.38	Neural Network (Specific Model)	11	0.886	4529	253.8091216216216	2537673	0.52	2960	642	31264	None
ERR3414574_fairy_all_metabat2_short_bin.115	93.99	0.07	Neural Network (Specific Model)	11	0.878	22196	298.02004146510023	1471383	0.41	1447	107	80562	None
ERR3414574_fairy_all_metabat2_short_bin.116	71.28	1.67	Gradient Boost (General Model)	11	0.915	5806	259.4153079710145	1870354	0.48	2208	379	38218	None
ERR3414574_fairy_all_metabat2_short_bin.117	80.67	0.02	Neural Network (Specific Model)	11	0.851	230131	366.83872707659117	2395225	0.48	1854	26	376713	None
ERR3414574_fairy_all_metabat2_short_bin.118	61.65	0.88	Gradient Boost (General Model)	11	0.895	3899	249.3893048128342	1559245	0.63	1870	446	16601	None
ERR3414574_fairy_all_metabat2_short_bin.119	47.51	0.61	Neural Network (Specific Model)	11	0.902	3206	239.95949926362297	1079618	0.59	1358	355	17098	None
ERR3414574_fairy_all_metabat2_short_bin.12	22.86	0.0	Neural Network (Specific Model)	11	0.844	386505	317.1212121212121	629433	0.6	561	5	386505	None
ERR3414574_fairy_all_metabat2_short_bin.120	33.78	0.22	Neural Network (Specific Model)	11	0.863	10120	259.1180904522613	357626	0.28	398	54	17515	None
ERR3414574_fairy_all_metabat2_short_bin.121	91.69	1.75	Gradient Boost (General Model)	11	0.893	23308	318.4794404408648	2518729	0.53	2359	181	91485	None
ERR3414574_fairy_all_metabat2_short_bin.122	94.34	0.51	Gradient Boost (General Model)	11	0.825	61992	302.4883826879271	2412177	0.62	2195	65	191481	None
ERR3414574_fairy_all_metabat2_short_bin.123	93.21	4.27	Gradient Boost (General Model)	11	0.867	41112	259.0574780058651	1522322	0.27	1705	60	143874	None
ERR3414574_fairy_all_metabat2_short_bin.124	55.59	0.33	Neural Network (Specific Model)	11	0.899	4759	263.8407494145199	1125862	0.6	1281	285	14492	None
ERR3414574_fairy_all_metabat2_short_bin.125	83.39	0.38	Gradient Boost (General Model)	11	0.882	13100	294.1105216622458	2255862	0.56	2262	244	68882	None
ERR3414574_fairy_all_metabat2_short_bin.126	95.05	0.47	Gradient Boost (General Model)	11	0.889	22908	327.8113126079447	2555451	0.5	2316	166	64335	None
ERR3414574_fairy_all_metabat2_short_bin.127	61.7	1.16	Neural Network (Specific Model)	11	0.878	4273	244.99655172413793	1210397	0.33	1450	322	15535	None
ERR3414574_fairy_all_metabat2_short_bin.128	60.42	0.23	Neural Network (Specific Model)	11	0.894	3535	256.3754385964912	1710305	0.5	1995	525	13288	None
ERR3414574_fairy_all_metabat2_short_bin.129	7.11	0.01	Neural Network (Specific Model)	11	0.871	10146	306.94890510948903	289090	0.45	274	37	39502	None
