Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
maxbin_3414591.001	3.72	0.0	Neural Network (Specific Model)	11	0.838	10872	212.1421568627451	154052	0.45	204	29	35918	None
maxbin_3414591.002	99.73	0.25	Neural Network (Specific Model)	11	0.884	131277	352.32661948829616	2192431	0.64	1837	39	274881	None
maxbin_3414591.003	4.36	0.02	Neural Network (Specific Model)	11	0.898	5913	279.94674556213016	157553	0.54	169	35	10158	None
maxbin_3414591.004	6.03	0.04	Neural Network (Specific Model)	11	0.84	35874	264.13747228381374	423767	0.35	451	20	103666	None
maxbin_3414591.005	4.0	0.06	Neural Network (Specific Model)	11	0.848	4043	271.7835820895522	128310	0.45	134	36	10653	None
maxbin_3414591.006	99.55	0.68	Gradient Boost (General Model)	11	0.909	178352	337.14768104149715	2731592	0.53	2458	45	465362	None
maxbin_3414591.007	7.42	0.09	Neural Network (Specific Model)	11	0.867	8661	281.99264705882354	396611	0.54	408	72	92913	None
maxbin_3414591.008	42.36	1.01	Neural Network (Specific Model)	11	0.887	53209	322.70469021424435	1881744	0.46	1727	131	113628	None
maxbin_3414591.009	49.81	0.2	Neural Network (Specific Model)	11	0.898	77652	316.38474481211443	1880971	0.45	1783	78	164543	None
maxbin_3414591.010	32.75	1.37	Neural Network (Specific Model)	11	0.881	51272	270.94103194103195	1498551	0.41	1628	106	125038	None
maxbin_3414591.011	94.95	1.47	Neural Network (Specific Model)	11	0.894	74739	322.906432748538	3328274	0.49	3078	109	264041	None
maxbin_3414591.012	99.47	4.35	Gradient Boost (General Model)	11	0.855	59623	323.9959807073955	2824938	0.64	2488	75	202038	None
maxbin_3414591.013	86.35	5.75	Neural Network (Specific Model)	11	0.9	176390	302.36893799877225	3275910	0.43	3258	96	295130	None
maxbin_3414591.014	84.26	0.21	Neural Network (Specific Model)	11	0.912	82348	323.4284694969675	2976065	0.47	2803	82	247787	None
maxbin_3414591.015	98.97	4.92	Neural Network (Specific Model)	11	0.875	55708	298.1278020378457	3504496	0.55	3435	158	233082	None
maxbin_3414591.016	98.22	0.22	Neural Network (Specific Model)	11	0.864	82436	313.5289575289575	2252428	0.64	2072	53	202537	None
maxbin_3414591.017	80.55	1.18	Neural Network (Specific Model)	11	0.88	161245	323.4392870404753	2963759	0.47	2693	51	317424	None
